Játékos;Dátum;Cserélt;Vett Jokert;Zöld végső;Piros végső;Aranykör;Tökéletes szám;Nyeremény összege;Kiesés lépése
Era;2026. 09. 22.;Nem;Igen;9;3;7-9;8;750000;

Kérdés;Tény;Tipped
"A neutrínók tömeg nélküli részecskék a Standard Modell szerint, és ezt a mai napig egyetlen kísérlet sem cáfolta.";HAMIS;HAMIS
"A Gödel-féle nemteljességi tételek azt bizonyítják, hogy minden matematikai állítás bizonyítható vagy cáfolható egy elég erős, ellentmondásmentes axiómarendszerben.";HAMIS;IGAZ
"A ""P vs NP"" probléma, amely a Clay Matematikai Intézet millenniumi problémáinak egyike, azt kérdezi, hogy minden gyorsan ellenőrizhető probléma egyben gyorsan meg is oldható-e.";IGAZ;IGAZ
"A termodinamika második főtétele szerint egy zárt rendszer entrópiája időben csak nőhet vagy változatlan maradhat, sosem csökkenhet.";IGAZ;IGAZ
"A Higgs-bozon létezését 2012-ben kísérletileg igazolták, ezzel bizonyítva, hogy a részecskéknek a Higgs-mezővel való kölcsönhatás ad tömeget.";IGAZ;IGAZ
"A Habsburg-Lotaringiai-ház uralkodott Ausztriában egészen az Osztrák-Magyar Monarchia 1918-as bukásáig, folyamatosan, megszakítás nélkül, 1273 óta.";HAMIS;IGAZ
"A CRISPR-Cas9 génszerkesztő rendszert eredetileg baktériumok immunrendszereként fedezték fel, amely a vírusfertőzések ellen védi őket.";IGAZ;IGAZ
"A Riemann-sejtés, amely a prímszámok eloszlásával kapcsolatos, a mai napig bizonyítatlan, és a Clay Matematikai Intézet millenniumi problémáinak egyike.";IGAZ;IGAZ
"A Nagy Károly frank uralkodót 800-ban a pápa koronázta ""Római Császárrá"", ezzel formálisan is helyreállítva a Nyugatrómai Birodalmat.";HAMIS;IGAZ
"A Planck-állandó pontos numerikus értékét ma már nem mérés útján határozzák meg, hanem definíció szerint rögzített, mióta 2019-ben újradefiniálták a kilogrammot.";IGAZ;IGAZ
"A Trienti Zsinat (1545-1563) volt a katolikus egyház válasza a reformációra, és ez indította el az ellenreformációt.";IGAZ;IGAZ
"A Weimari Köztársaság alkotmánya (1919) tartalmazott olyan vészhelyzeti felhatalmazást (48. cikkely), amelyet később a nácik törvényesen használtak fel a hatalom megszilárdítására.";IGAZ;IGAZ
