Játékos;Dátum;Cserélt;Vett Jokert;Zöld végső;Piros végső;Aranykör;Tökéletes szám;Nyeremény összege;Kiesés lépése
Tomi2;2026. 09. 20.;Igen;Igen;9;3;7-9;7;300000;

Kérdés;Tény;Tipped
"Az emberi szem látótávolsága, akár több miliárd fényév is lehet.";IGAZ;IGAZ
"Semmi sem mozoghat gyorsabban mint a fény.";HAMIS;HAMIS
"Azonos teljesítmény esetén az áramerősség és a feszültség egyenesen arányos.";HAMIS;HAMIS
"A koffein a világ legszélesebb körben fogyasztott pszichoaktív anyaga.";IGAZ;IGAZ
"Egy 1cm és egy 1m sugarú körnek a kerülete azonos számú pontot tartalmaz.";IGAZ;HAMIS
"A Pi és a négyzetgyökkettő is komkrét, pontos szám.";HAMIS;HAMIS
"A Mount Everest a Föld legmagasabb hegye, és egyben a tengerszinttől mérve a legmagasabb pontja is a bolygónak, ha a hegy alapjától mérjük a magasságát.";HAMIS;HAMIS
"A répa és a krumpli is a föld alatt nő.";IGAZ;HAMIS
"A világon a legtöbb ember anyanyelve a spanyol.";HAMIS;HAMIS
"A Nílus a világ leghosszabb folyója, hosszabb, mint az Amazonas.";IGAZ;IGAZ
"A legrégebbi ismert civilizáció a 6000 éves mezopotámiai civilizáció.";HAMIS;IGAZ
"A polipoknak három szívük van, és kék a vérük.";IGAZ;IGAZ
