Játékos;Dátum;Cserélt;Vett Jokert;Zöld végső;Piros végső;Aranykör;Tökéletes szám;Nyeremény összege;Kiesés lépése
Tomi2;2026. 09. 20.;Nem;Nem;12;0;10-12;10;1800000;

Kérdés;Tény;Tipped
"A Nagy Fal az egyetlen ember alkotta építmény, amely látható a világűrből szabad szemmel, és teljes hosszában folyamatos, összefüggő fal.";HAMIS;HAMIS
"A kaméleonok azért változtatják a színüket, hogy beleolvadjanak a környezetükbe, és mindkét szemükkel egymástól függetlenül, külön-külön irányba is tudnak nézni.";HAMIS;HAMIS
"Michalengaló, Mona Lisa festménye a párizsi Louvre-ban van kiállítva.";HAMIS;HAMIS
"A világ leggyorsabb szárazföldi állata a gepárd.";IGAZ;IGAZ
"A Földön a legnagyobb élő madár a kondorkeselyű.";HAMIS;HAMIS
"A modern olimpián voltak művészeti versenyszámok.";IGAZ;IGAZ
"A kacsacsőrű emlős tojásokkal szaporodik, tejjel táplálja az utódait és nincs mérge.";HAMIS;HAMIS
"A méhek elveszítik a fullánkjukat szúrás után, és emiatt elpusztulnak.";IGAZ;IGAZ
"A föld kerületi sebessége az egyenlítőn meghaladja a hang sebességét.";IGAZ;IGAZ
"A kaméleonok nem a környezetük színe miatt változtatják a színüket, hanem a hangulatuk miatt.";IGAZ;IGAZ
"A magyar nyelv az uráli nyelvcsaládba tartozik.";IGAZ;IGAZ
"A víz akár 0 °C-on is felforrhat.";IGAZ;IGAZ
